ISBN,Title,Author,Genre,Language,Publication_Year,Total_Copies,Available_Copies,Publisher,Book_Condition
978-9047357517,Distributed directional Internet solution,Tyler Roberts,Science,English,2011,49,45.0,Penguin,Good
978-6345248018,Multi-layered interactive focus group,Sheena James,Science,English,1935,49,47.0,Macmillan,New
978-1828008752,Proactive fault-tolerant matrices,Hannah Boyd,Science,Spanish,1973,6,3.0,HarperCollins,Damaged
978-5857555598,Object-based stable parallelism,Christine Gibbs,Science,Japanese,1998,14,13.0,Penguin,Damaged
978-3201879203,Adaptive systematic product,Eric Juarez,History,Japanese,1983,36,32.0,Simon & Schuster,New
978-8693575722,Down-sized content-based throughput,Matthew Hampton,Biography,French,1923,9,8.0,Simon & Schuster,New
978-9049293765,Customer-focused heuristic focus group,Gregory West,Fiction,English,1949,28,28.0,HarperCollins,New
978-7036135837,Cross-group intermediate pricing structure,Robert Holloway,Biography,English,1928,13,,Penguin,Worn
978-8450536181,Expanded bifurcated framework,Johnny Nelson,Fiction,Spanish,1982,21,,Simon & Schuster,New
978-1366332817,Centralized systemic capacity,Christina Stewart,History,German,1918,5,3.0,Simon & Schuster,New
978-1490724720,Focused leadingedge info-mediaries,Brenda Myers,Fiction,Spanish,1997,19,19.0,Penguin,Good
978-3629765085,Virtual mission-critical capacity,Chris Goodman,Fiction,English,1967,16,16.0,Penguin,New
978-7072965884,Up-sized reciprocal knowledgebase,Jeffrey Dixon,Science,German,1919,5,1.0,Macmillan,Damaged
978-8060490628,Mandatory mobile policy,Tiffany Pope,History,Japanese,1996,47,47.0,Random House,New
978-7070285077,Automated 5thgeneration implementation,Elizabeth Porter,History,French,1971,8,7.0,Macmillan,Good
978-6374535792,Synergized modular application,Roberto Huffman,Non-fiction,Spanish,1980,13,12.0,Random House,Good
978-3783278366,Optimized tertiary conglomeration,Candace Strickland,Biography,Spanish,1913,13,13.0,Penguin,Worn
978-3824419895,Horizontal high-level attitude,Joseph Webb,Fiction,Spanish,2006,18,16.0,HarperCollins,Good
978-7063506590,User-friendly composite installation,Sherry White,History,Japanese,1980,40,39.0,Penguin,Damaged
978-7785210656,Implemented empowering project,Julie Bishop,Fiction,English,1986,49,48.0,Random House,Worn
978-7756356641,Focused bandwidth-monitored task-force,James Williams,Non-fiction,French,1987,30,27.0,Simon & Schuster,Good
978-6636287412,Configurable composite product,Keith White MD,Biography,French,2017,22,22.0,HarperCollins,New
978-8747265721,Triple-buffered systematic conglomeration,Andrea Levy,Biography,Japanese,1942,36,33.0,Penguin,New
978-3543356580,Fundamental real-time complexity,Kristen Meyer,Fiction,German,1914,33,33.0,Simon & Schuster,New
978-1387275249,Reverse-engineered high-level alliance,Jessica Mcdonald MD,Science,German,1992,27,27.0,Penguin,New
978-4760021537,Inverse solution-oriented artificial intelligence,Katie Lee,History,Japanese,2016,34,,Macmillan,Good
978-2293580146,Customer-focused background toolset,Brett Greene,History,French,1946,20,18.0,Penguin,Damaged
978-8021877739,Cross-group incremental intranet,Thomas Wilson,History,Japanese,1991,39,,Macmillan,Worn
978-2500949468,Reduced multi-state function,Jasmine Henson,Non-fiction,Japanese,2020,23,21.0,Penguin,Good
978-5293200764,Expanded background intranet,Scott Poole,Science,French,2004,9,7.0,Random House,Worn
978-2163625984,Profound directional encoding,Jessica Davis,Non-fiction,Spanish,1960,11,11.0,Penguin,Damaged
978-7296182717,Ameliorated eco-centric function,Ernest Sullivan,Biography,Spanish,1978,33,32.0,Penguin,Damaged
978-2310575187,Optimized maximized knowledgebase,Manuel Deleon,Fiction,French,1913,44,44.0,HarperCollins,Worn
978-7644189260,Universal global interface,Anthony Miller,Non-fiction,Spanish,1939,22,18.0,Simon & Schuster,Good
978-5215301527,Proactive homogeneous conglomeration,Daniel Roberts,History,English,1988,43,42.0,Macmillan,Worn
978-3398965436,Assimilated foreground methodology,Mary Collins MD,Fiction,Japanese,1964,42,38.0,Random House,Damaged
978-6866599056,Right-sized global core,Stephen Harris,History,Spanish,1996,36,32.0,Random House,New
978-8389088812,Robust modular alliance,Kim Dominguez,Non-fiction,Spanish,1907,17,16.0,HarperCollins,Worn
978-7709030695,Enterprise-wide optimizing database,Jeffrey Novak,Science,Spanish,2014,19,15.0,HarperCollins,Damaged
978-4333781027,Synchronized executive flexibility,Briana Bennett,History,German,1929,27,,HarperCollins,New
978-9828064395,Networked full-range approach,David Cisneros,Biography,Japanese,2006,45,43.0,Penguin,Good
978-5930702922,Up-sized systemic forecast,Elizabeth Scott,Non-fiction,Japanese,2011,45,42.0,Simon & Schuster,Worn
978-9449986801,Networked real-time productivity,Justin Gibbs,Biography,Spanish,1938,18,16.0,Macmillan,Damaged
978-6436151183,Implemented even-keeled budgetary management,Alison Mann,History,English,2000,11,10.0,Simon & Schuster,New
978-2696578570,Reactive optimal info-mediaries,Andrea Brown,Biography,English,1986,5,,HarperCollins,New
978-4774167752,Profound user-facing collaboration,Michael Sanchez,Non-fiction,Spanish,1964,21,18.0,Simon & Schuster,Damaged
978-5771705386,Quality-focused real-time emulation,Stefanie Clark,Non-fiction,German,1915,18,17.0,Random House,Damaged
978-2941214388,Extended responsive attitude,Michele Mosley,Biography,French,1922,19,16.0,Simon & Schuster,New
978-7134452029,Configurable needs-based concept,Travis Dudley,Science,English,2003,45,41.0,Simon & Schuster,New
978-5835318208,Multi-channeled solution-oriented architecture,Joseph Harris,Fiction,French,1920,39,39.0,HarperCollins,Damaged
978-4965978651,Persistent methodical function,Amanda Reyes,Science,Japanese,1927,13,9.0,Macmillan,Worn
978-2584649933,Distributed systematic flexibility,Randy Rios,Non-fiction,French,1904,11,9.0,Penguin,Good
978-5382560804,Horizontal directional archive,Ronald Walker Jr.,Fiction,Spanish,2011,17,,Simon & Schuster,Worn
978-3219041431,Cloned zero-defect secured line,Stephen Carlson,Biography,English,1978,12,,Simon & Schuster,Damaged
978-4607648987,Managed composite benchmark,Mike Brown,Fiction,English,1923,15,11.0,HarperCollins,Worn
